Trial ID,Crab ID,Date,EDS,Day,Pleopod Number,Crab Eggs,Adult Nicos,Larval Nicos,Nico Eggs,Nemerteans,Temperature
Mortality-001,ANT-GAV-030,01/21/2023,I,37,8,1090,1,2,39,1,12
Mortality-002,ANT-GAV-031,01/21/2023,I,34,4,1461,0,2,67,2,12
Mortality-003,ANT-GAV-032,01/21/2023,J,40,6,1975,10,74,317,0,12
Mortality-004,ANT-GAV-033,01/22/2023,J,40,2,1325,2,51,156,1,12
Mortality-005,ANT-GAV-034,01/22/2023,G,29,3,1795,13,1,603,0,12
Mortality-006,ANT-GAV-035,01/22/2023,J,40,6,1582,1,10,23,1,12
Mortality-007,ANT-GAV-036,01/23/2023,I,35,8,1578,0,4,28,0,12
Mortality-008,ANT-GAV-037,01/23/2023,I,36,4,1381,21,323,1517,0,12
Mortality-009,ANT-GAV-038,01/23/2023,I,36,1,1402,4,49,360,0,12
Mortality-010,ANT-GAV-030,01/24/2023,I,40,3,1890,3,29,176,1,12
Mortality-011,ANT-GAV-031,01/24/2023,I,37,7,1125,0,8,46,1,12
Mortality-012,ANT-GAV-032,01/24/2023,K,43,5,1227,1,36,231,0,12
Mortality-013,ANT-GAV-033,01/25/2023,K,43,7,1728,0,36,42,1,12
Mortality-014,ANT-GAV-034,01/25/2023,H,34,1,1491,10,10,547,0,12
Mortality-015,ANT-GAV-035,01/25/2023,K,43,4,1362,1,28,46,1,12
Mortality-016,ANT-GAV-036,01/26/2023,I,38,4,1458,0,18,43,0,12
Mortality-017,ANT-GAV-037,01/26/2023,I,39,3,1342,15,1395,2044,0,12
Mortality-018,ANT-GAV-038,01/26/2023,I,39,7,1068,6,90,209,0,12
Mortality-019,ANT-GAV-030,01/27/2023,J,43,4,1524,0,23,27,1,12
Mortality-020,ANT-GAV-031,01/27/2023,J,40,2,1476,0,7,4,0,12
Mortality-021,ANT-GAV-032,01/27/2023,M,46,NA,NA,NA,NA,NA,NA,12
Mortality-022,ANT-GAV-033,01/28/2023,M,46,NA,NA,NA,NA,NA,NA,14
Mortality-023,ANT-GAV-034,01/28/2023,I,36,8,1158,4,4,173,1,14
Mortality-024,ANT-GAV-035,01/28/2023,M,46,NA,NA,NA,NA,NA,NA,14
Mortality-025,ANT-GAV-036,01/29/2023,K,41,4,1177,0,8,21,1,12
Mortality-026,ANT-GAV-037,01/29/2023,L,43,5,1646,7,518,1160,2,12
Mortality-027,ANT-GAV-038,01/29/2023,K,42,8,1225,2,227,157,0,12
Mortality-028,ANT-GAV-030,01/30/2023,M,46,NA,NA,NA,NA,NA,NA,14
Mortality-029,ANT-GAV-031,01/30/2023,K,43,7,1953,0,194,0,0,14
Mortality-030,ANT-GAV-034,01/31/2023,I,39,7,1097,12,511,564,0,12
Mortality-031,ANT-GAV-037,02/01/2023,M,46,5,NA,NA,NA,NA,NA,12
Mortality-032,ANT-GAV-038,02/01/2023,M,46,4,NA,NA,NA,NA,NA,12
